,meter,source,statement,context,tags,TRUE,mostly-true,half-true,barely-true,FALSE,pants-fire
245,FALSE,Viral image,Photo shows Ice Cube and 50 Cent wearing Donald Trump hats.,a Facebook post,"['Economy', 'Jobs', 'Wisconsin', 'Coronavirus', 'Mike Pence']",5,7,18,11,20,2
246,half-true,Nick Freitas,Abigail Spanberger and other Democrats “voted to spend public funds on their political campaigns; up to $5 million...”,a TV ad.,"['Campaign Finance', 'Taxes', 'Virginia', 'Nick Freitas']",1,1,2,0,0,0
247,half-true,Facebook posts,"Says Joe Biden told a factory worker, “I don’t work for you!” while pointing a finger in the worker’s face.",a post,"['Campaign Finance', 'Taxes', 'Virginia', 'Nick Freitas']",1,1,2,0,0,0
248,FALSE,Facebook posts,"Pennsylvania rejected 372,000 mail-in ballots",a Facebook post,"['Campaign Finance', 'Taxes', 'Virginia', 'Nick Freitas']",1,1,2,0,0,0
249,fire,Facebook posts,"Says Anthony Fauci was indicted “for crimes including treason, conspiring with the enemy and fraud.”",a Facebook post,"['Campaign Finance', 'Taxes', 'Virginia', 'Nick Freitas']",1,1,2,0,0,0
250,FALSE,Donald Trump,"Speaking of the federal debt before the coronavirus pandemic, “we were starting to get that number down.”",a discussion with business leaders,"['Campaign Finance', 'Taxes', 'Virginia', 'Nick Freitas']",1,1,2,0,0,0
251,mostly-true,Facebook posts,“Donald Trump and Thom Tillis opposed legislation that would lower the price of insulin and other prescription drugs.”,,"['Campaign Finance', 'Taxes', 'Virginia', 'Nick Freitas']",1,1,2,0,0,0
252,mostly-true,AFSCME,"Says ""David Schweikert took over $120,000 from the drug industry and voted against legislation to lower prescription drug prices.""",a Facebook ad,"['Arizona', 'National', 'Health Care', '  AFSCME']",0,4,2,4,2,0
253,mostly-true,Joe Cunningham,"""Nancy Mace denies climate change.""",a website post,"['Climate Change', 'Joe Cunningham']",0,2,0,0,0,0
254,FALSE,Facebook posts,“WHO now says your child’s presence in school counts as ‘informed consent’ for vaccination - parental presence not required.”,a Facebook post,"['Climate Change', 'Joe Cunningham']",0,2,0,0,0,0
255,FALSE,Facebook posts,"Says Joe Biden said, “I lived in Section 8 housing as a little boy.”",a Facebook post,"['Climate Change', 'Joe Cunningham']",0,2,0,0,0,0
256,mostly-true,Facebook posts,“Federal law requires people to speak English to be naturalized as American citizens.”,a post,"['Climate Change', 'Joe Cunningham']",0,2,0,0,0,0
257,FALSE,Facebook posts,A photo shows a massive crowd at a recent Florida rally for Donald Trump.,a post,"['Climate Change', 'Joe Cunningham']",0,2,0,0,0,0
258,fire,Facebook posts,Says Nancy Pelosi was photographed with the Manson Family.,a post on social media,"['Climate Change', 'Joe Cunningham']",0,2,0,0,0,0
259,FALSE,Caleb Rowden,Says he “fully funded Missouri K-12 education for the first time in state history.”,an online campaign ad,"['Education', 'State Budget', 'Missouri', 'Caleb Rowden']",1,2,2,1,1,0
260,TRUE,Vicente Gonzalez,"Says the “The Rio Grande Valley is 4.7% of the entire state population, but it represents 17% of the (coronavirus) deaths of our state.""",a speech,"['Texas', 'Coronavirus', 'Vicente Gonzalez']",1,0,0,0,0,0
261,FALSE,Instagram posts,"Says Kanye West got 40,000 votes in the presidential election in Kentucky.",an Instagram post,"['Texas', 'Coronavirus', 'Vicente Gonzalez']",1,0,0,0,0,0
262,half-true,Congressional Leadership Fund,"Says Debbie Mucarsel-Powell's family received $700,000 from the firm of ""violent warlord Ihor Kolomoisky,"" who is compared to Fidel Castro and Nicolás Maduro.",an ad,"['Ethics', 'Crime', 'Military', 'Florida', 'Congressional Leadership Fund']",0,2,4,5,4,0
263,FALSE,Facebook posts,“Jaime Harrison is being left off of South Carolina ballots”,a Facebook post,"['Ethics', 'Crime', 'Military', 'Florida', 'Congressional Leadership Fund']",0,2,4,5,4,0
264,mostly-false,Andrew Cuomo,"""We're No. 46 out of 50 states... we're 46th in terms of percentage of deaths in nursing homes.""",a press call,"['New York', 'Coronavirus', 'Andrew Cuomo']",15,3,8,7,3,0
265,FALSE,Viral image,Says Joe Biden calls Donald Trump’s supporters the dregs of society.,a Facebook post,"['New York', 'Coronavirus', 'Andrew Cuomo']",15,3,8,7,3,0
266,mostly-false,Facebook posts,Says Joe Biden’s “capital gains tax means that when you sell your home you’ll owe taxes of 40% of your profit!”,a text post,"['New York', 'Coronavirus', 'Andrew Cuomo']",15,3,8,7,3,0
267,fire,Viral image,"CNN reported, “Due to COVID-19, President Donald Trump passes away at 74.”",a Facebook post,"['New York', 'Coronavirus', 'Andrew Cuomo']",15,3,8,7,3,0
268,mostly-false,Congressional Leadership Fund,“Hoadley called women ‘breeders.’... wanted to learn about crystal meth and wrote that his sexual partners were his victims. Hoadley even wrote about a four year-old wearing a thong.”,a TV ad,"['New York', 'Coronavirus', 'Andrew Cuomo']",15,3,8,7,3,0
269,FALSE,Donald Trump,"Changes to DACA during his administration are ""because of the pandemic.""",an NBC town hall in Miami,"['New York', 'Coronavirus', 'Andrew Cuomo']",15,3,8,7,3,0
270,FALSE,Joe Biden,"""They eliminated the funding for community policing.""",an ABC town hall,"['New York', 'Coronavirus', 'Andrew Cuomo']",15,3,8,7,3,0
271,FALSE,Tucker Carlson,"According to a recent CDC report, ""almost everyone — 85% — who got the coronavirus in July was wearing a mask, and they were infected anyway. So clearly (wearing a mask) doesn’t work the way they tell us it works.”",a TV segment,"['New York', 'Coronavirus', 'Andrew Cuomo']",15,3,8,7,3,0
272,TRUE,Roy Cooper,"Georgia has “almost 100,000 more (COVID-19) cases, almost twice as many deaths and almost 600 more nursing home deaths than North Carolina.”",a debate,"['New York', 'Coronavirus', 'Andrew Cuomo']",15,3,8,7,3,0
273,half-true,Facebook posts,"Says Amy Coney Barrett said ""calling a Black employee the N-word does not make for a hostile work environment.""",a Facebook post,"['New York', 'Coronavirus', 'Andrew Cuomo']",15,3,8,7,3,0
274,FALSE,Donald Trump,“The World Health Organization just admitted that I was right. Lockdowns are killing countries all over the world. The cure cannot be worse than the problem itself.”,a tweet.,"['New York', 'Coronavirus', 'Andrew Cuomo']",15,3,8,7,3,0
275,half-true,National Republican Senatorial Committee,"Says Steve Bullock “failed to act” when his “most senior political aide was caught sexually harassing women. Bullock knew about the harassment but said nothing, remaining silent when the aide took another job where he harassed women again.”",a campaign ad,"['Congress', 'Ad Watch', 'National Republican Senatorial Committee']",1,2,9,15,8,6
276,FALSE,Facebook posts,“BREAKING NEWS: All Charges Dropped for Kyle Rittenhouse.”,Facebook post,"['Congress', 'Ad Watch', 'National Republican Senatorial Committee']",1,2,9,15,8,6
277,FALSE,Viral image,A fly landed on Amy Coney Barrett’s shoulder during day one of the confirmation hearings,a Facebook post,"['Congress', 'Ad Watch', 'National Republican Senatorial Committee']",1,2,9,15,8,6
278,TRUE,Jim Justice,“West Virginia has one of the greatest percentages of veterans in any state.”,a Facebook post,"['West Virginia', 'Veterans', 'Jim Justice']",3,5,2,1,0,1
279,mostly-true,David McKinley,"""Nearly 800 million opioid pills were shipped to WV, amounting to 433 pills for every man, woman, and child in the state.”",a tweet,"['West Virginia', 'Drugs', 'Public Health', 'David McKinley']",3,2,0,1,0,0
280,FALSE,Donald Trump,Says Joe Biden is a socialist.,a rally,"['West Virginia', 'Drugs', 'Public Health', 'David McKinley']",3,2,0,1,0,0
281,FALSE,Chris Kapenga,"In May, Wisconsin had its own test of mask effectiveness, when ""we went from masks, to no masks, and there (was) no significant difference in cases.""",TV interview,"['Public Health', 'Wisconsin', 'Coronavirus', 'Chris Kapenga']",1,1,1,0,3,0
282,fire,Tweets,"Says Joe Biden and Barack Obama “directly participated in a plot to have #SealTeam6 MURDERED, then arranged a massive cash deal as part of a cover up.”","a videos, articles and screenshots","['Public Health', 'Wisconsin', 'Coronavirus', 'Chris Kapenga']",1,1,1,0,3,0
283,FALSE,John Cornyn,Says Democratic senators were missing “masks” as they huddled close together at the Judiciary Committee hearing for Amy Coney Barrett.,a tweet,"['Supreme Court', 'Texas', 'Coronavirus', 'John Cornyn']",10,4,9,6,6,1
284,mostly-false,Donald Trump,“We’re putting our great coal miners back to work.”,a speech,"['Supreme Court', 'Texas', 'Coronavirus', 'John Cornyn']",10,4,9,6,6,1
285,FALSE,Uniting Missouri PAC,"Says Nicole Galloway's campaign “is being bankrolled by the same extremists who want to defund our police.""",a campaign ad,"['Campaign Finance', 'Crime', 'Missouri', 'Uniting Missouri PAC']",0,0,0,0,1,0
286,half-true,Mark Kelly,Says Martha McSally “voted to take away money from Fort Huachuca to pay for the border wall.”,a debate,"['Immigration', 'Homeland Security', 'Military', 'Mark Kelly']",2,1,2,0,0,0
287,FALSE,Tommy Tuberville,"Says Doug Jones ""has voted to spend our tax dollars on late-term abortions"" and ""supports abortion up until birth.""",an ad,"['Abortion', 'Federal Budget', 'Health Care', 'Tommy Tuberville']",0,0,0,0,2,0
288,mostly-false,Facebook posts,"Says Joe Biden said, “You know, we have to come together. That’s why I’m running. I’m running as a proud Democrat for the Senate. So vote! Vote!”",a Facebook post,"['Abortion', 'Federal Budget', 'Health Care', 'Tommy Tuberville']",0,0,0,0,2,0
289,mostly-false,Van Wanggaard,"No one under 20 has died of COVID-19, and ""it has not actually been determined yet"" that anyone under 20 can spread it to an older person",Video interview,"['Children', 'Public Health', 'Wisconsin', 'Coronavirus', 'Van Wanggaard']",0,1,1,1,1,0
290,half-true,Mike Pence,"“With regard to hurricanes, the National Oceanic (and Atmospheric) Administration tells us that actually, as difficult as they are, there are no more hurricanes today than there were 100 years ago.”",a debate,"['Children', 'Public Health', 'Wisconsin', 'Coronavirus', 'Van Wanggaard']",0,1,1,1,1,0
291,FALSE,Viral image,"“Your ballot could be disqualified if it is written on” in Haltom City, Tex.",a Facebook post,"['Children', 'Public Health', 'Wisconsin', 'Coronavirus', 'Van Wanggaard']",0,1,1,1,1,0
292,fire,Facebook posts,Says Amy Coney Barrett said that breastfeeding babies is child molestation.,a Facebook post,"['Children', 'Public Health', 'Wisconsin', 'Coronavirus', 'Van Wanggaard']",0,1,1,1,1,0
293,FALSE,Donald Trump,"""Biden's plan is a 14% tax hike on middle class families.""",a campaign ad,"['Children', 'Public Health', 'Wisconsin', 'Coronavirus', 'Van Wanggaard']",0,1,1,1,1,0
294,fire,Mike Pence,"“The reality is when you look at the Biden plan, it reads an awful lot like what President Trump and I and our task force have been doing every step of the way.”",the VP debate,"['Children', 'Public Health', 'Wisconsin', 'Coronavirus', 'Van Wanggaard']",0,1,1,1,1,0
295,fire,Viral image,"Says Donald Trump said he nominated Amy Coney Barrett to the Supreme Court because she “is much, much better looking than the women we have had.”",a Facebook post,"['Children', 'Public Health', 'Wisconsin', 'Coronavirus', 'Van Wanggaard']",0,1,1,1,1,0
296,FALSE,Viral image,“CDC just cancelled Halloween for kids.”,a Facebook post,"['Children', 'Public Health', 'Wisconsin', 'Coronavirus', 'Van Wanggaard']",0,1,1,1,1,0
297,FALSE,Facebook posts,Says Joe Biden took a knee during the national anthem.,a Facebook post,"['Children', 'Public Health', 'Wisconsin', 'Coronavirus', 'Van Wanggaard']",0,1,1,1,1,0
298,fire,Facebook posts,"A CDC report found that “people who wear masks, are actually ‘collecting’ the virus in their masks.”",a Facebook post,"['Children', 'Public Health', 'Wisconsin', 'Coronavirus', 'Van Wanggaard']",0,1,1,1,1,0
299,FALSE,The Gateway Pundit,Says Joe Biden called for a jihad in a video.,a story,"['National', 'Terrorism', 'Facebook Fact-checks', 'The Gateway Pundit']",1,1,0,0,2,0
300,fire,Facebook posts,“Jeffrey Epstein found living in New Mexico!”,a Facebook post,"['National', 'Terrorism', 'Facebook Fact-checks', 'The Gateway Pundit']",1,1,0,0,2,0
301,FALSE,Joe Biden,"Senate Republicans' move to confirm Judge Amy Coney Barrett to the Supreme Court in an election year is ""not constitutional.""",a comment to reporters,"['National', 'Terrorism', 'Facebook Fact-checks', 'The Gateway Pundit']",1,1,0,0,2,0
302,FALSE,Facebook posts,"Says Kamala Harris said, “American churches are PROPAGANDA CENTERS for intolerant homophobic, xenophobic vitriol.""",a Facebook post,"['National', 'Terrorism', 'Facebook Fact-checks', 'The Gateway Pundit']",1,1,0,0,2,0
303,FALSE,Facebook posts,“Kamala Harris Tried to Put Pro-Lifers in Jail Who Exposed Planned Parenthood Selling Baby Parts”,a headline,"['National', 'Terrorism', 'Facebook Fact-checks', 'The Gateway Pundit']",1,1,0,0,2,0
304,FALSE,Facebook posts,“ABC News has confirmed that attendees to Trump WH Rally were paid. $150. ea and had to sign an NDA.”,a Facebook post,"['National', 'Terrorism', 'Facebook Fact-checks', 'The Gateway Pundit']",1,1,0,0,2,0
305,half-true,Viral image,"Image quotes Sen. Ted Cruz as saying, “In the last election, 54 million evangelical Christians stayed home. If Christians will simply show up and vote our values, we’ll turn this country around.”",a post on Facebook,"['National', 'Terrorism', 'Facebook Fact-checks', 'The Gateway Pundit']",1,1,0,0,2,0
306,mostly-false,Facebook posts,No one showed up for this Joe Biden and Kamala Harris joint campaign event in Arizona.,a Facebook post,"['National', 'Terrorism', 'Facebook Fact-checks', 'The Gateway Pundit']",1,1,0,0,2,0
307,half-true,Nancy Mace,Says Joe Cunningham voted for $5 million in taxpayer funds to go into his and other politicians’ campaigns to pay for personal expenses and TV ads.,a debate,"['Campaign Finance', 'Taxes', 'Nancy Mace']",0,0,1,1,0,0
308,FALSE,National Republican Congressional Committee,"Says “Lucy McBath voted to release criminals from prison. Murderers, rapists.”",a campaign ad,"['Georgia', 'Congress', 'Criminal Justice', 'Crime', 'Coronavirus', 'National Republican Congressional Committee']",4,5,8,20,13,9
309,FALSE,Jon Favreau,Says voter registration in Wisconsin ends Oct. 14.,Twitter,"['National', 'Elections', 'States', 'Wisconsin', 'Jon Favreau']",0,0,0,0,1,0
310,mostly-false,Bloggers,Video from 2019 shows Kamala Harris “caught in a major lie” about fracking during the 2020 vice presidential debate.,an article,"['National', 'Elections', 'States', 'Wisconsin', 'Jon Favreau']",0,0,0,0,1,0
311,FALSE,Viral image,"Says Kamala Harris said, “The American people aren’t equipped to make these decisions for themselves.”",a Facebook post,"['National', 'Elections', 'States', 'Wisconsin', 'Jon Favreau']",0,0,0,0,1,0
312,mostly-true,Joe Biden,"“All the billionaires in America, their net worth combined … has increased by $800 billion” during the pandemic.",Speech,"['National', 'Elections', 'States', 'Wisconsin', 'Jon Favreau']",0,0,0,0,1,0
313,mostly-false,Facebook posts,"During the debate, Kamala Harris said, “that’s a great segway to the next question,” suggesting she knew the next question.",a Facebook post,"['National', 'Elections', 'States', 'Wisconsin', 'Jon Favreau']",0,0,0,0,1,0
314,FALSE,Facebook posts,Image shows Nancy Pelosi drunk and being kissed by President Barack Obama.,a post on Facebook,"['National', 'Elections', 'States', 'Wisconsin', 'Jon Favreau']",0,0,0,0,1,0
315,mostly-false,Donald Trump,"Says Dr. Anthony Fauci said of Trump’s pandemic response, “I can’t imagine that … anybody could be doing more.”",a campaign ad,"['National', 'Elections', 'States', 'Wisconsin', 'Jon Favreau']",0,0,0,0,1,0
316,FALSE,Jim Oberweis,Says U.S. Rep. Lauren Underwood described riots as “beautiful protests.”,an ad,"['Civil Rights', 'Race and Ethnicity', 'Public Safety', 'Illinois', 'Jim Oberweis']",0,0,0,0,1,0
317,FALSE,Facebook posts,"""If Biden becomes president and cannot complete his term, Harris will become president, and Pelosi will become vice president.""",a post on Facebook,"['Civil Rights', 'Race and Ethnicity', 'Public Safety', 'Illinois', 'Jim Oberweis']",0,0,0,0,1,0
318,mostly-false,VoteVets.org,"Says Thom Tillis voted “against a pay raise for a military, while voting for a pay raise for himself.”",an ad,"['Military', 'North Carolina', 'VoteVets.org']",2,0,2,1,1,0
319,FALSE,Republican Party of Florida,"During the debate, Kamala Harris said President Donald Trump “did not appoint minorities to the courts.”",a tweet,"['National', 'Race and Ethnicity', 'Florida', 'Republican Party of Florida']",2,6,6,12,9,4
320,FALSE,Donald Trump,The Commission on Presidential Debates wrote a letter after the 2016 presidential debates apologizing to Donald Trump.,an interview with Fox News,"['National', 'Race and Ethnicity', 'Florida', 'Republican Party of Florida']",2,6,6,12,9,4
321,fire,Viral image,Twitter removed this tweet from Donald Trump: “My blood IS the vaccine!!!!!”,a Facebook post,"['National', 'Race and Ethnicity', 'Florida', 'Republican Party of Florida']",2,6,6,12,9,4
322,mostly-false,National Republican Senatorial Committee,"When Sara Gideon “knew the truth about” sexual allegations against a state lawmaker, “she could have called for an immediate investigation, but didn’t…Gideon knew for months, using her power to cover up.”",an ad,"['National', 'Race and Ethnicity', 'Florida', 'Republican Party of Florida']",2,6,6,12,9,4
323,mostly-false,Greg Abbott,Says “Property crime rising in Austin. This is the kind of thing that happens when cities defund and deemphasize police. Residents are left to fend for themselves.”,a tweet,"['City Budget', 'Crime', 'Texas', 'Greg Abbott']",12,11,12,15,9,6
324,FALSE,Nikki Haley,"Says that Nikita Khrushchev said, “Your children's children will live under communism. You Americans are so gullible. No, you won't accept communism outright; but, we will keep feeding you small doses of socialism until you will finally wake up and find you already have Communism.”",a post on Facebook,"['History', 'Facebook Fact-checks', 'Nikki Haley']",0,4,1,2,2,1
325,half-true,Viral image,"An appellate court found Kamala Harris and police “took part in framing and prosecuting a man” for a murder he didn’t commit, paying a key witness $60,000 in relocation benefits for testifying against him.",a Facebook post,"['History', 'Facebook Fact-checks', 'Nikki Haley']",0,4,1,2,2,1
326,FALSE,Glenn Grothman,"Says the U.S. House’s COVID-19 relief bill, advanced by Democrats, “strips states of their right to administer elections.”",Newsletter,"['National', 'Elections', 'States', 'Wisconsin', 'Glenn Grothman']",6,1,2,3,6,0
327,FALSE,Donald Trump,Says ballots in Wisconsin “are being dumped in rivers” or creeks.,a debate,"['National', 'Elections', 'States', 'Wisconsin', 'Glenn Grothman']",6,1,2,3,6,0
328,FALSE,Mike Pence,Says Joe Biden and Kamala Harris support abortion “up to the moment of birth.”,a debate,"['National', 'Elections', 'States', 'Wisconsin', 'Glenn Grothman']",6,1,2,3,6,0
329,FALSE,Mike Pence,"As vice president, Kamala Harris would “defund, dismantle, and dissolve police departments.”",a Facebook ad,"['National', 'Elections', 'States', 'Wisconsin', 'Glenn Grothman']",6,1,2,3,6,0
330,FALSE,Bloggers,"“Shredded Pennsylvania Mail in ballot Applications were discovered in a trailer.
The applications were for @realDonaldTrump.”",a post on Facebook,"['National', 'Elections', 'States', 'Wisconsin', 'Glenn Grothman']",6,1,2,3,6,0
331,FALSE,Preserve America PAC,Says Joe Biden is proposing a tax increase that’s “the largest in American history.”,a campaign ad,"['National', 'Taxes', 'Preserve America PAC']",0,0,0,0,1,0
332,mostly-true,David Zuckerman,"“You were going to cut schools, when you were going to cut teachers and educators in our schools.”",a debate,"['Vermont', 'David Zuckerman']",0,1,0,1,0,0
333,half-true,TikTok posts,"Says Joe Biden’s website shows that he supports the Green New Deal, despite denials in debate.",a video,"['Vermont', 'David Zuckerman']",0,1,0,1,0,0
334,fire,Viral image,An impersonator in a Joe Biden mask gave an interview as Joe Biden.,a Facebook post,"['Vermont', 'David Zuckerman']",0,1,0,1,0,0
335,FALSE,John James,Says Sen. Gary Peters “downplayed the pandemic” and “failed to act.”,a television ad,"['Coronavirus', 'Michigan', 'John James']",0,0,0,1,1,0
336,mostly-false,Haley Stevens,"Eric Esshaki “would allow insurance companies to kick people with a preexisting condition off their plans in the middle of a pandemic, including over 100,000 Michiganders who have survived COVID-19.”",a campaign ad,"['Michigan', 'Haley Stevens']",0,0,0,1,0,0
337,fire,Donald Trump,"""Dems want to shut your churches down, permanently. Hope you see what is happening.""",a tweet,"['Michigan', 'Haley Stevens']",0,0,0,1,0,0
338,mostly-false,Facebook posts,"“South Dakota, Idaho, Florida, Tennessee & Georgia are now mask FREE!”",a Facebook post,"['Michigan', 'Haley Stevens']",0,0,0,1,0,0
339,FALSE,Viral image,“Chris Christie is in ICU and reported to be put on a ventilator.”,a Facebook post,"['Michigan', 'Haley Stevens']",0,0,0,1,0,0
340,FALSE,Facebook posts,"“Hillsboro school district has already placed Antifa, BLM in their curriculum as Justice Fighters. Fourth grade.”",a Facebook post,"['Michigan', 'Haley Stevens']",0,0,0,1,0,0
341,FALSE,Facebook posts,“The Rock has lost 48 million followers on his IG and YouTube after coming out for Biden.”,a post on Facebook,"['Michigan', 'Haley Stevens']",0,0,0,1,0,0
342,fire,Facebook posts,Hacked emails “revealed that Hillary Clinton & pals are involved in sex trafficking children.”,a Facebook post,"['Michigan', 'Haley Stevens']",0,0,0,1,0,0
343,TRUE,Facebook posts,“Wisconsin Republicans have not passed a single bill in 6 months.”,a Facebook post,"['Michigan', 'Haley Stevens']",0,0,0,1,0,0
344,fire,Facebook posts,"Says Joe Biden said 14,000 people died from H1N1. “Fact checking it is 574,000.”",a Facebook post,"['Michigan', 'Haley Stevens']",0,0,0,1,0,0
345,FALSE,Facebook posts,Says Kamala Harris said there will be “a federal tax on your home for reparations.”,a Facebook post,"['Michigan', 'Haley Stevens']",0,0,0,1,0,0
346,FALSE,Facebook posts,“NYT is correcting their lies..Trump paid $1M in 2016 & $3.8M in 2017-18..THEY LIED..AGAIN. INFO ON TWITTER THIS AM.”,a Facebook post,"['Michigan', 'Haley Stevens']",0,0,0,1,0,0
347,fire,Viral image,"Says Donald Trump said, “The doctors said they’ve never seen a body kill the coronavirus like my body. They tested my DNA and it wasn’t DNA. It was USA.”",a Facebook post,"['Michigan', 'Haley Stevens']",0,0,0,1,0,0
348,FALSE,Facebook posts,Says Chris Christie told Donald Trump to interrupt Joe Biden during the debate because “people who overcome stuttering have a harder time maintaining their train of thought when interrupted. Keep interrupting him and he’ll stumble when he tries to speak. This will enforce the ‘senile’ narrative.”,a Facebook post,"['Michigan', 'Haley Stevens']",0,0,0,1,0,0
349,FALSE,Donald Trump,"“Many people every year, sometimes over 100,000, and despite the vaccine, die from the flu … we are learning to live with Covid, in most populations far less lethal.""",a tweet,"['Michigan', 'Haley Stevens']",0,0,0,1,0,0
350,FALSE,Mike Parson,“All Missouri’s high-risk areas have mask mandates in place.”,a press conference,"['Public Health', 'Missouri', 'Coronavirus', 'Mike Parson']",2,1,0,1,2,0
351,FALSE,Joe Biden,"During the Obama/Biden administration “18,000 people got clemency.”",an NBC town hall in Miami,"['Public Health', 'Missouri', 'Coronavirus', 'Mike Parson']",2,1,0,1,2,0
352,TRUE,Joe Biden,The president's own FBI director said that the greatest domestic terrorist threat is white supremacists.,an NBC town hall in Miami,"['Public Health', 'Missouri', 'Coronavirus', 'Mike Parson']",2,1,0,1,2,0
353,mostly-false,Matthew Rosendale,"Says he ""fights for everyone with a preexisting condition.”",a campaign ad,"['Health Care', 'Health Check', 'Matthew Rosendale']",0,0,0,1,0,2
354,half-true,Gary Peters,"Says “John James opposes abortion, even refusing to make an exception when a woman’s life is at risk” and “wants to make it a felony even in cases of rape and incest.”",Gary Peters in a Sept. 21 Facebook ad,"['Corrections and Updates', 'Michigan', 'Gary Peters']",0,0,2,0,0,0
355,half-true,Doug Jones,"Says Tommy Tuberville ""quit on his players"" all four times that he was a college football coach.",an ad,"['Candidate Biography', 'Sports', 'Doug Jones']",0,2,2,1,1,0
356,FALSE,Facebook posts,“AARP endorses Biden and gives financial support to Planned Parenthood.”,a Facebook post,"['Candidate Biography', 'Sports', 'Doug Jones']",0,2,2,1,1,0
357,mostly-false,Donald Trump,“I brought back Big Ten football.”,Debate,"['Candidate Biography', 'Sports', 'Doug Jones']",0,2,2,1,1,0
358,half-true,Viral image,“The leader of Proud Boys is the Florida state director of Latinos for Trump.”,a post on Facebook,"['Candidate Biography', 'Sports', 'Doug Jones']",0,2,2,1,1,0
359,half-true,Congressional Leadership Fund,Says Sri Kulkarni attended “notorious desert drug parties” and was arrested for cocaine.,a campaign ad,"['Candidate Biography', 'Sports', 'Doug Jones']",0,2,2,1,1,0
360,FALSE,Facebook posts,“HOUSE PASSES BILL TO PAY U.N. TO RUN LOCAL POLICE BOARDS IN 46 U.S. CITIES.”,a Facebook post,"['Candidate Biography', 'Sports', 'Doug Jones']",0,2,2,1,1,0
361,FALSE,Bloggers,“The government has released their initial plans to force a vaccine on everyone.”,a Facebook post,"['Candidate Biography', 'Sports', 'Doug Jones']",0,2,2,1,1,0
362,half-true,Facebook posts,Says Joe Biden “wants American farmers to put their farmland into Gvt ‘land banks.’ Gvt would then tell farmers what ‘sustainable’ plants they could grow.”,a text post,"['Candidate Biography', 'Sports', 'Doug Jones']",0,2,2,1,1,0
363,FALSE,Facebook posts,“Bikers show up to The Walter Reed Hospital to pray for President Trump.”,a Facebook post,"['Candidate Biography', 'Sports', 'Doug Jones']",0,2,2,1,1,0
364,mostly-false,Sara Gideon,Says Susan Collins “pushed for policies that benefited her husband’s lobbying business.”,an ad,"['Campaign Finance', 'Ethics', 'Taxes', 'Sara Gideon']",0,0,0,1,0,0
365,fire,Instagram posts,"Says Joe Biden tweeted, “I have consulted with Instagram’s CEO to take the page @electionleaks down. They have supposedly ‘video proof’ of me using a hidden earpiece in tonight’s debate. This is slander, and not true.”",an Instagram post,"['Campaign Finance', 'Ethics', 'Taxes', 'Sara Gideon']",0,0,0,1,0,0
366,fire,Alex Jones,“President Trump is in great danger. Evidence is mounting that he’s being deliberately killed at Walter Reed Military Hospital.”,a Facebook post,"['Facebook Fact-checks', 'Coronavirus', 'Alex Jones']",0,0,0,0,2,3
367,mostly-true,United Association’s Union Plumbers and Pipefitters Vote! PAC,Nick Freitas “voted to let businesses discriminate and fire expecting mothers for no other reason but their pregnancy. ”,a TV ad.,"['Unions', 'Women', 'Workers', 'Virginia', 'United Association’s Union Plumbers and Pipefitters Vote! PAC']",0,1,0,0,0,0
368,half-true,Coalition to Stop the Proposed Tax Hike Amendment,"Approving the constitutional amendment on Illinois' November ballot “would let the politicians immediately implement their plan to increase taxes on small businesses, farmers and large employers.”",an ad,"['Elections', 'Taxes', 'Illinois', 'Coalition to Stop the Proposed Tax Hike Amendment']",0,0,1,0,0,0
369,fire,Facebook posts,"Says Donald Trump is not at Walter Reed National Military Medical Center, “he is on AF1.”",a series of images,"['Elections', 'Taxes', 'Illinois', 'Coalition to Stop the Proposed Tax Hike Amendment']",0,0,1,0,0,0
370,FALSE,Jason MIller,Says Joe Biden stays in his basement.,"comments on ABC's ""This Week""","['Elections', 'Taxes', 'Illinois', 'Coalition to Stop the Proposed Tax Hike Amendment']",0,0,1,0,0,0
371,TRUE,Phil Scott,"“That 5% (wealth tax) starts at $159,000 per family.”",a debate,"['Vermont', 'Phil Scott']",1,0,2,1,2,0
372,FALSE,Facebook posts,"Says Donald Trump boarded Marine One ""with a portable oxygen concentrator in his pocket with the nasal cannula going up his back, hidden in his hair and tucked under his mask.""",a series of images,"['Vermont', 'Phil Scott']",1,0,2,1,2,0
373,half-true,John Cornyn,Says he “strongly supports legalization for Dreamers.”,an advertisement,"['Vermont', 'Phil Scott']",1,0,2,1,2,0
374,mostly-false,David Zuckerman,“Our governor proposed initially a 5% cut across the board of state government.”,a debate,"['Vermont', 'Phil Scott']",1,0,2,1,2,0
375,fire,Viral image,Photo shows Chris Wallace and Jeffrey Epstein on Epstein’s private island.,a Facebook post,"['Vermont', 'Phil Scott']",1,0,2,1,2,0
376,mostly-false,Donald Trump,President Barack Obama and Vice President Joe Biden “left me 128 judges to fill. You just don’t do that.”,the first 2020 presidential debate,"['Vermont', 'Phil Scott']",1,0,2,1,2,0
377,FALSE,DeAnna Lorraine,“No prominent Democrats have had the virus but the list of Republicans goes on and on.”,a tweet,"['Facebook Fact-checks', 'Coronavirus', 'DeAnna Lorraine']",0,0,0,1,1,0
378,FALSE,Facebook posts,“Biden and Obama allowed grown men in restrooms with little girls. Trump has rescued over 300 missing children from (pedophiles) and perverts.”,a Facebook post,"['Facebook Fact-checks', 'Coronavirus', 'DeAnna Lorraine']",0,0,0,1,1,0
